,Unnamed: 0.1,Unnamed: 0,Developer,Repository Name,Number of Stars,Language,Topics,AI / Data / ML,Systems / Embedded / Robotics,Web / Mobile / Application Development,DevOps / Infrastructure / Cloud,Security / Networking,Data Platforms / Backend Services / Integrations,CLI / Utilities / Developer Tools,Libraries / SDKs / Framework Components,Research / Experiments / Demos,Education / Tutorials / Docs,top_genre
0,0,0,@louislam,louislam/uptime-kuma,76456,JavaScript,"['docker', 'monitor', 'monitoring', 'responsive', 'single-page-app', 'websocket', 'socket-io', 'selfhosted', 'self-hosted', 'uptime', 'webapp', 'uptime-monitoring']",0.0,0.0119760479041916,1.0,0.2275449101796407,0.059880239520958,0.1676646706586826,0.0838323353293413,0.059880239520958,0.0,0.0239520958083832,Web / Mobile / Application Development
1,1,1,@sharkdp,sharkdp/bat,55313,Rust,"['git', 'syntax-highlighting', 'rust', 'cli', 'terminal', 'command-line', 'tool', 'hacktoberfest']",0.0067567567567567,0.0878378378378378,0.1756756756756756,0.0878378378378378,0.027027027027027,0.0608108108108108,1.0,0.1554054054054054,0.0067567567567567,0.0405405405405405,CLI / Utilities / Developer Tools
2,2,2,@wintonzheng,Skyvern-AI/skyvern,15128,Python,"['python', 'api', 'workflow', 'automation', 'browser', 'computer', 'vision', 'gpt', 'browser-automation', 'rpa', 'playwright', 'llm']",0.2236559139784946,0.0,1.0,0.1870967741935484,0.0086021505376344,0.0236559139784946,0.2795698924731182,0.3118279569892473,0.0817204301075268,0.053763440860215,Web / Mobile / Application Development
3,3,3,@hnwyllmm,oceanbase/miniob,4099,C++,"['training', 'classroom', 'education', 'database', 'cplusplus', 'mini-database', 'hackertoberfest', 'learn-to-database']",0.0108695652173913,1.0,0.0036231884057971,0.0797101449275362,0.0,0.0036231884057971,0.0144927536231884,0.0,0.0398550724637681,0.0289855072463768,Systems / Embedded / Robotics
4,4,4,@csukuangfj,k2-fsa/sherpa-onnx,7912,C++,"['android', 'windows', 'macos', 'linux', 'lazarus', 'raspberry-pi', 'ios', 'text-to-speech', 'csharp', 'cpp', 'dotnet', 'speech-to-text', 'aarch64', 'mfc', 'risc-v', 'object-pascal', 'asr', 'arm32', 'onnx', 'vits']",0.6624525916561315,0.0530973451327433,0.0189633375474083,0.0,0.0,0.0012642225031605,0.0031605562579013,1.0,0.0689001264222503,0.0739570164348925,Libraries / SDKs / Framework Components
5,5,5,@wwwillchen,dyad-sh/dyad,16502,TypeScript,"['github', 'react', 'typescript', 'nextjs', 'artificial-intelligence', 'gemini', 'openai', 'bolt', 'v0', 'lovable', 'vercel', 'llm', 'llms', 'generative-ai', 'anthropic', 'ollama', 'qwen', 'deepseek', 'ai-app-builder']",0.9565217391304348,0.0,1.0,0.0,0.0434782608695652,0.0,0.0217391304347826,0.3478260869565217,0.0,0.0,Web / Mobile / Application Development
6,6,6,@Anuken,Anuken/Mindustry,25289,Java,"['android', 'game', 'java', 'desktop', 'tower-defense', 'mobile-game', 'multiplatform', 'rts', 'sandbox-game', 'mindustry']",0.1851851851851851,0.0123456790123456,0.0123456790123456,0.1296296296296296,0.0,0.0,0.1975308641975308,0.2345679012345679,0.9938271604938272,1.0,Education / Tutorials / Docs
7,7,7,@nsarrazin,huggingface/chat-ui,9763,TypeScript,"['typescript', 'svelte', 'hacktoberfest', 'tailwindcss', 'huggingface', 'svelte-kit', 'sveltekit', 'llm', 'chatgpt']",0.1038961038961039,0.0519480519480519,1.0,0.2597402597402597,0.0259740259740259,0.1168831168831168,0.0779220779220779,0.2727272727272727,0.0,0.0649350649350649,Web / Mobile / Application Development
8,8,8,@wdhdev,is-a-dev/register,8746,JavaScript,"['dns', 'github-pages', 'website', 'oss', 'foss', 'domain', 'dev', 'cloudflare', 'subdomain', 'developer', 'free', 'free-domain', 'free-for-developers', 'free-for-dev']",0.5384615384615384,0.0769230769230769,0.0769230769230769,0.2307692307692307,1.0,0.0,0.3076923076923077,0.0769230769230769,0.0769230769230769,0.5384615384615384,Security / Networking
9,9,9,@jaywcjlove,jaywcjlove/awesome-mac,90568,JavaScript,"['desktop-app', 'macos', 'mac', 'application', 'app', 'list', 'apple', 'awesome', 'apps', 'desktop-application', 'software', 'macosx', 'awesome-list', 'mac-osx', 'desktop-apps', 'awesome-lists', 'macos-app', 'macos-apps', 'awesome-mac']",0.3591160220994475,0.005524861878453,0.2651933701657458,0.1878453038674033,0.2596685082872928,0.2209944751381215,1.0,0.0773480662983425,0.580110497237569,0.1049723756906077,CLI / Utilities / Developer Tools
10,10,10,@Centril,clockworklabs/SpacetimeDB,18073,Rust,"['database', 'smart-contracts', 'game-development', 'relational-database', 'relational', 'dataoriented']",0.012012012012012,0.4264264264264264,1.0,0.072072072072072,0.012012012012012,0.057057057057057,0.3723723723723723,0.6486486486486487,0.072072072072072,0.3843843843843844,Web / Mobile / Application Development
11,11,11,@profvjreddi,harvard-edge/cs249r_book,3951,Python,"['machine-learning', 'deep-learning', 'artificial-intelligence', 'textbook', 'courseware', 'computer-systems', 'edge-machine-learning', 'machine-learning-systems', 'tinyml', 'cloud-ml', 'embedded-ml', 'mobile-ml']",1.0,0.0279329608938547,0.0,0.1340782122905028,0.0167597765363128,0.0111731843575419,0.1229050279329608,0.0167597765363128,0.1173184357541899,0.2290502793296089,AI / Data / ML
12,12,12,@technosophos,helm/helm,28761,Go,"['kubernetes', 'chart', 'charts', 'helm', 'cncf']",0.0,0.0,0.0,1.0,0.072463768115942,0.0,0.0797101449275362,0.217391304347826,0.0434782608695652,0.0942028985507246,DevOps / Infrastructure / Cloud
13,13,13,@shilman,storybookjs/storybook,88306,TypeScript,"['react', 'javascript', 'stories', 'testing', 'html', 'components', 'documentation', 'styleguide', 'design-systems', 'angular', 'typescript', 'ui', 'react-native', 'webpack', 'workshop', 'vue', 'web-components', 'svelte', 'storybook', 'vite']",0.001034839599862,0.0,1.0,0.0051741979993101,0.0003449465332873,0.0075888237323214,0.1486719558468437,0.100379441186616,0.0044843049327354,0.0144877543980682,Web / Mobile / Application Development
14,14,14,@bogdandrutu,open-telemetry/opentelemetry-collector,6042,Go,"['monitoring', 'metrics', 'telemetry', 'observability', 'opentelemetry', 'open-telemetry']",0.0515463917525773,0.0,0.0,1.0,0.0309278350515463,0.1855670103092783,0.0,0.0412371134020618,0.0721649484536082,0.2061855670103092,DevOps / Infrastructure / Cloud
15,15,15,@giga-a,qeeqbox/social-analyzer,16162,JavaScript,"['nodejs', 'javascript', 'python', 'cli', 'profile', 'social-media', 'osint', 'analysis', 'analyzer', 'pentesting', 'username', 'pentest', 'nodejs-cli', 'information-gathering', 'security-tools', 'reconnaissance', 'social-analyzer', 'person-profile', 'sosint']",0.125,0.0,0.05,0.125,1.0,0.075,0.8,0.125,0.1,0.1,Security / Networking
16,16,16,@patchy631,patchy631/ai-engineering-hub,19739,Jupyter Notebook,"['machine-learning', 'ai', 'mcp', 'agents', 'rag', 'llms']",1.0,0.0,0.0239852398523985,0.055350553505535,0.0,0.0138376383763837,0.0064575645756457,0.0267527675276752,0.0728782287822878,0.0424354243542435,AI / Data / ML
17,17,17,@yhirose,yhirose/cpp-httplib,15236,C++,"['http', 'cpp', 'https', 'cpp11', 'header-only']",0.0,0.8292682926829268,0.024390243902439,0.2073170731707317,0.2926829268292683,0.0,1.0,0.1585365853658536,0.1585365853658536,0.0975609756097561,CLI / Utilities / Developer Tools
18,18,18,@wyli,Project-MONAI/MONAI,7063,Python,"['deep-learning', 'python3', 'pytorch', 'medical-image-computing', 'medical-image-processing', 'healthcare-imaging', 'monai']",0.0379746835443038,0.0289330922242314,0.0,0.1157323688969258,0.0018083182640144,0.0687160940325497,0.0054249547920434,1.0,0.0126582278481012,0.0162748643761302,Libraries / SDKs / Framework Components
19,19,19,@louis-menlo,janhq/jan,38464,TypeScript,"['open-source', 'self-hosted', 'gpt', 'tauri', 'llm', 'chatgpt', 'llamacpp', 'localai']",0.3477011494252873,0.0373563218390804,1.0,0.3103448275862069,0.0373563218390804,0.0229885057471264,0.014367816091954,0.0545977011494252,0.0344827586206896,0.0114942528735632,Web / Mobile / Application Development
20,20,20,@Dev-Khant,mem0ai/mem0,42187,Python,"['python', 'application', 'state-management', 'ai', 'memory', 'chatbots', 'memory-management', 'agents', 'hacktoberfest', 'ai-agents', 'long-term-memory', 'rag', 'llm', 'chatgpt', 'genai']",1.0,0.0,0.2819277108433735,0.1590361445783132,0.0024096385542168,0.1036144578313253,0.0192771084337349,0.253012048192771,0.0987951807228915,0.053012048192771,AI / Data / ML
21,21,21,@iam-veeramalla,iam-veeramalla/aws-devops-zero-to-hero,9320,Python,['No topics'],0.0,0.0,0.0,1.0,0.1020408163265306,0.0544217687074829,0.0204081632653061,0.0204081632653061,0.0476190476190476,0.4081632653061224,DevOps / Infrastructure / Cloud
22,22,22,@lyingbug,Tencent/WeKnora,6827,Go,"['agent', 'golang', 'multi-tenant', 'ai', 'chatbot', 'evaluation', 'embeddings', 'openai', 'question-answering', 'chatbots', 'knowledge-base', 'semantic-search', 'reranking', 'multimodel', 'rag', 'vector-search', 'llm', 'generative-ai', 'agentic', 'ollama']",0.3619047619047619,0.0,1.0,0.3523809523809524,0.0571428571428571,0.1809523809523809,0.2,0.0761904761904762,0.1142857142857142,0.1333333333333333,Web / Mobile / Application Development
23,23,23,@actions-user,projectdiscovery/nuclei-templates,11131,JavaScript,"['security', 'fingerprint', 'exploits', 'nuclei', 'bugbounty', 'vulnerability-detection', 'hacktoberfest', 'exploit-development', 'nuclei-templates', 'nuclei-checks']",0.0056022408963585,0.0065359477124183,0.1848739495798319,0.5658263305322129,1.0,0.1111111111111111,0.0392156862745098,0.0280112044817927,0.0149393090569561,0.0140056022408963,Security / Networking
24,24,24,@jlooper,microsoft/Web-Dev-For-Beginners,93032,JavaScript,"['javascript', 'css', 'html', 'learning', 'education', 'curriculum', 'tutorials', 'microsoft-for-beginners']",0.4820143884892086,0.0023980815347721,0.3309352517985611,0.0,0.1247002398081534,0.2494004796163069,0.7002398081534772,0.3117505995203837,0.0047961630695443,1.0,Education / Tutorials / Docs
25,25,25,@harry0703,harry0703/MoneyPrinterTurbo,46890,Python,"['python', 'automation', 'ai', 'moviepy', 'shortvideo', 'tiktok', 'chatgpt']",0.1666666666666666,0.0,0.0,0.1296296296296296,0.0,0.0,0.2592592592592592,0.0185185185185185,0.9814814814814816,1.0,Education / Tutorials / Docs
26,26,26,@dexhorthy,humanlayer/humanlayer,6326,TypeScript,"['ai', 'amp', 'opencode', 'agents', 'codex', 'human-in-the-loop', 'llm', 'llms', 'humanlayer', 'claude-code']",0.427027027027027,0.0,1.0,0.0108108108108108,0.0,0.1405405405405405,0.0648648648648648,0.6324324324324324,0.0108108108108108,0.0216216216216216,Web / Mobile / Application Development
27,27,27,@Paul-Licameli,audacity/audacity,15664,C++,"['audio', 'editor', 'cross-platform', 'gplv2', 'wxwidgets-applications']",0.0,1.0,0.0053619302949061,0.0053619302949061,0.0006702412868632,0.0,0.0020107238605898,0.0254691689008042,0.4758713136729222,0.4798927613941018,Systems / Embedded / Robotics
28,28,28,@vhf,EbookFoundation/free-programming-books,374325,Python,"['education', 'list', 'books', 'resource', 'hacktoberfest']",0.0,0.0,0.0,0.0,0.0,0.0,0.0165975103734439,0.0,0.0331950207468879,1.0,Education / Tutorials / Docs
29,29,29,@jatZama,zama-ai/fhevm,24819,Rust,"['privacy', 'blockchain', 'fhe']",0.0843373493975903,0.0,0.0040160642570281,0.5100401606425703,0.1044176706827309,0.0321285140562249,0.0281124497991967,1.0,0.0562248995983935,0.1244979919678714,Libraries / SDKs / Framework Components
30,30,30,@cclauss,TheAlgorithms/Python,211766,Python,"['python', 'education', 'algorithm', 'practice', 'interview', 'sorting-algorithms', 'learn', 'algos', 'algorithm-competitions', 'sorts', 'hacktoberfest', 'algorithms-implemented', 'community-driven', 'searches']",0.5,0.0,0.0,0.1666666666666666,0.5,0.0,0.0,0.1666666666666666,0.0,1.0,Education / Tutorials / Docs
31,31,31,@actions-user,anthropics/claude-code,39836,TypeScript,['No topics'],1.0,0.0,0.0,0.0181818181818181,0.1272727272727272,0.0,0.2363636363636363,0.1636363636363636,0.0,0.1454545454545454,AI / Data / ML
32,32,32,@laanwj,bitcoin/bitcoin,86331,C++,"['c-plus-plus', 'cryptography', 'bitcoin', 'p2p', 'cryptocurrency']",0.0,1.0,0.0,0.0068399452804377,0.1012311901504788,0.0041039671682626,0.0437756497948016,0.0287277701778385,0.0013679890560875,0.0027359781121751,Systems / Embedded / Robotics
