Developer,Repository Name,Number of Stars,Forks,Stars Today,Language,Topics,AI / Data / ML,Systems / Embedded / Robotics,Web / Mobile / Application Development,DevOps / Infrastructure / Cloud,Security / Networking,Data Platforms / Backend Services / Integrations,CLI / Utilities / Developer Tools,Libraries / SDKs / Framework Components,Research / Experiments / Demos,Education / Tutorials / Docs,top_genre
@louislam,louislam/uptime-kuma,76456,6776,178,JavaScript,"['docker', 'monitor', 'monitoring', 'responsive', 'single-page-app', 'websocket', 'socket-io', 'selfhosted', 'self-hosted', 'uptime', 'webapp', 'uptime-monitoring']",0,0.011976048,1,0.22754491,0.05988024,0.167664671,0.083832335,0.05988024,0,0.023952096,Web / Mobile / Application Development
@sharkdp,sharkdp/bat,55313,1381,92,Rust,"['git', 'syntax-highlighting', 'rust', 'cli', 'terminal', 'command-line', 'tool', 'hacktoberfest']",0.006756757,0.087837838,0.175675676,0.087837838,0.027027027,0.060810811,1,0.155405405,0.006756757,0.040540541,CLI / Utilities / Developer Tools
@hnwyllmm,oceanbase/miniob,4099,1479,39,C++,"['training', 'classroom', 'education', 'database', 'cplusplus', 'mini-database', 'hackertoberfest', 'learn-to-database']",0.010869565,1,0.003623188,0.079710145,0,0.003623188,0.014492754,0,0.039855072,0.028985507,Systems / Embedded / Robotics
@csukuangfj,k2-fsa/sherpa-onnx,7912,912,16,C++,"['android', 'windows', 'macos', 'linux', 'lazarus', 'raspberry-pi', 'ios', 'text-to-speech', 'csharp', 'cpp', 'dotnet', 'speech-to-text', 'aarch64', 'mfc', 'risc-v', 'object-pascal', 'asr', 'arm32', 'onnx', 'vits']",0.662452592,0.053097345,0.018963338,0,0,0.001264223,0.003160556,1,0.068900126,0.073957016,Libraries / SDKs / Framework Components
@wwwillchen,dyad-sh/dyad,16502,1793,80,TypeScript,"['github', 'react', 'typescript', 'nextjs', 'artificial-intelligence', 'gemini', 'openai', 'bolt', 'v0', 'lovable', 'vercel', 'llm', 'llms', 'generative-ai', 'anthropic', 'ollama', 'qwen', 'deepseek', 'ai-app-builder']",0.956521739,0,1,0,0.043478261,0,0.02173913,0.347826087,0,0,Web / Mobile / Application Development
@Anuken,Anuken/Mindustry,25289,3241,186,Java,"['android', 'game', 'java', 'desktop', 'tower-defense', 'mobile-game', 'multiplatform', 'rts', 'sandbox-game', 'mindustry']",0.185185185,0.012345679,0.012345679,0.12962963,0,0,0.197530864,0.234567901,0.99382716,1,Education / Tutorials / Docs
@nsarrazin,huggingface/chat-ui,9763,1473,190,TypeScript,"['typescript', 'svelte', 'hacktoberfest', 'tailwindcss', 'huggingface', 'svelte-kit', 'sveltekit', 'llm', 'chatgpt']",0.102564103,0.051282051,1,0.256410256,0.025641026,0.115384615,0.076923077,0.269230769,0,0.064102564,Web / Mobile / Application Development
@wdhdev,is-a-dev/register,8746,15675,48,JavaScript,"['dns', 'github-pages', 'website', 'oss', 'foss', 'domain', 'dev', 'cloudflare', 'subdomain', 'developer', 'free', 'free-domain', 'free-for-developers', 'free-for-dev']",0.538461538,0.076923077,0.076923077,0.230769231,1,0,0.307692308,0.076923077,0.076923077,0.538461538,Security / Networking
@jaywcjlove,jaywcjlove/awesome-mac,90568,6867,421,JavaScript,"['desktop-app', 'macos', 'mac', 'application', 'app', 'list', 'apple', 'awesome', 'apps', 'desktop-application', 'software', 'macosx', 'awesome-list', 'mac-osx', 'desktop-apps', 'awesome-lists', 'macos-app', 'macos-apps', 'awesome-mac']",0.359116022,0.005524862,0.26519337,0.187845304,0.259668508,0.220994475,1,0.077348066,0.580110497,0.110497238,CLI / Utilities / Developer Tools
@Centril,clockworklabs/SpacetimeDB,18073,631,166,Rust,"['database', 'smart-contracts', 'game-development', 'relational-database', 'relational', 'dataoriented']",0.011976048,0.425149701,1,0.071856287,0.011976048,0.056886228,0.371257485,0.646706587,0.071856287,0.383233533,Web / Mobile / Application Development
@profvjreddi,harvard-edge/cs249r_book,3951,434,250,Python,"['machine-learning', 'deep-learning', 'artificial-intelligence', 'textbook', 'courseware', 'computer-systems', 'edge-machine-learning', 'machine-learning-systems', 'tinyml', 'cloud-ml', 'embedded-ml', 'mobile-ml']",1,0.027777778,0,0.133333333,0.016666667,0.011111111,0.122222222,0.016666667,0.116666667,0.233333333,AI / Data / ML
@technosophos,helm/helm,28761,7371,26,Go,"['kubernetes', 'chart', 'charts', 'helm', 'cncf']",0,0,0,1,0.072463768,0,0.079710145,0.217391304,0.043478261,0.094202899,DevOps / Infrastructure / Cloud
@shilman,storybookjs/storybook,88306,9742,17,TypeScript,"['react', 'javascript', 'stories', 'testing', 'html', 'components', 'documentation', 'styleguide', 'design-systems', 'angular', 'typescript', 'ui', 'react-native', 'webpack', 'workshop', 'vue', 'web-components', 'svelte', 'storybook', 'vite']",0.001033414,0,1,0.005167069,0.000344471,0.007578367,0.148467103,0.10024113,0.004478126,0.014467792,Web / Mobile / Application Development
@bogdandrutu,open-telemetry/opentelemetry-collector,6042,1759,109,Go,"['monitoring', 'metrics', 'telemetry', 'observability', 'opentelemetry', 'open-telemetry']",0.051546392,0,0,1,0.030927835,0.18556701,0,0.041237113,0.072164948,0.216494845,DevOps / Infrastructure / Cloud
@patchy631,patchy631/ai-engineering-hub,19739,3315,351,Jupyter Notebook,"['machine-learning', 'ai', 'mcp', 'agents', 'rag', 'llms']",1,0,0.02398524,0.055350554,0,0.013837638,0.006457565,0.026752768,0.072878229,0.042435424,AI / Data / ML
@yhirose,yhirose/cpp-httplib,15236,2530,73,C++,"['http', 'cpp', 'https', 'cpp11', 'header-only']",0,0.829268293,0.024390244,0.207317073,0.292682927,0,1,0.158536585,0.158536585,0.097560976,CLI / Utilities / Developer Tools
@wyli,Project-MONAI/MONAI,7063,1301,33,Python,"['deep-learning', 'python3', 'pytorch', 'medical-image-computing', 'medical-image-processing', 'healthcare-imaging', 'monai']",0.037974684,0.028933092,0,0.115732369,0.001808318,0.068716094,0.005424955,1,0.012658228,0.016274864,Libraries / SDKs / Framework Components
@louis-menlo,janhq/jan,38464,2326,28,TypeScript,"['open-source', 'self-hosted', 'gpt', 'tauri', 'llm', 'chatgpt', 'llamacpp', 'localai']",0.347701149,0.037356322,1,0.313218391,0.037356322,0.022988506,0.014367816,0.054597701,0.034482759,0.011494253,Web / Mobile / Application Development
