Developer,Repository Name,Number of Stars,Language,Topics,AI / Data / ML,Systems / Embedded / Robotics,Web / Mobile / Application Development,DevOps / Infrastructure / Cloud,Security / Networking,Data Platforms / Backend Services / Integrations,CLI / Utilities / Developer Tools,Libraries / SDKs / Framework Components,Research / Experiments / Demos,Education / Tutorials / Docs,top_genre
@louislam,louislam/uptime-kuma,76456,JavaScript,"['docker', 'monitor', 'monitoring', 'responsive', 'single-page-app', 'websocket', 'socket-io', 'selfhosted', 'self-hosted', 'uptime', 'webapp', 'uptime-monitoring']",0.0025974025974025974,0.03636363636363636,1.0,0.5376623376623376,0.16623376623376623,0.5714285714285714,0.4025974025974026,0.7792207792207793,0.007792207792207792,0.005194805194805195,Web / Mobile / Application Development
@sharkdp,sharkdp/bat,55313,Rust,"['git', 'syntax-highlighting', 'rust', 'cli', 'terminal', 'command-line', 'tool', 'hacktoberfest']",0.004545454545454545,0.4409090909090909,0.6181818181818182,0.1,0.39090909090909093,0.10454545454545454,1.0,0.13636363636363635,0.06818181818181818,0.02727272727272727,CLI / Utilities / Developer Tools
@wintonzheng,Skyvern-AI/skyvern,15128,Python,"['python', 'api', 'workflow', 'automation', 'browser', 'computer', 'vision', 'gpt', 'browser-automation', 'rpa', 'playwright', 'llm']",0.15827338129496402,0.05447070914696814,1.0,0.16341212744090441,0.07708119218910586,0.3494347379239466,0.17060637204522097,0.35149023638232274,0.06372045220966084,0.025693730729701953,Web / Mobile / Application Development
@hnwyllmm,oceanbase/miniob,4099,C++,"['training', 'classroom', 'education', 'database', 'cplusplus', 'mini-database', 'hackertoberfest', 'learn-to-database']",0.013192612137203167,0.7651715039577837,0.18997361477572558,0.8680738786279684,0.09234828496042216,0.27440633245382584,1.0,0.0,0.03430079155672823,0.0316622691292876,CLI / Utilities / Developer Tools
@csukuangfj,k2-fsa/sherpa-onnx,7912,C++,"['android', 'windows', 'macos', 'linux', 'lazarus', 'raspberry-pi', 'ios', 'text-to-speech', 'csharp', 'cpp', 'dotnet', 'speech-to-text', 'aarch64', 'mfc', 'risc-v', 'object-pascal', 'asr', 'arm32', 'onnx', 'vits']",0.28448275862068967,1.0,0.35815047021943575,0.0005224660397074191,0.06060606060606061,0.26436781609195403,0.06191222570532915,0.4150992685475444,0.032915360501567396,0.18025078369905956,Systems / Embedded / Robotics
@wwwillchen,dyad-sh/dyad,16502,TypeScript,"['github', 'react', 'typescript', 'nextjs', 'artificial-intelligence', 'gemini', 'openai', 'bolt', 'v0', 'lovable', 'vercel', 'llm', 'llms', 'generative-ai', 'anthropic', 'ollama', 'qwen', 'deepseek', 'ai-app-builder']",0.17681159420289855,0.32753623188405795,1.0,0.07536231884057971,0.02608695652173913,0.05217391304347826,0.12173913043478261,0.9188405797101449,0.017391304347826087,0.0,Web / Mobile / Application Development
@Anuken,Anuken/Mindustry,25289,Java,"['android', 'game', 'java', 'desktop', 'tower-defense', 'mobile-game', 'multiplatform', 'rts', 'sandbox-game', 'mindustry']",0.029117379435850774,0.13193812556869883,1.0,0.05368516833484986,0.020018198362147407,0.06551410373066424,0.05732484076433121,0.2183803457688808,0.14740673339399454,0.15286624203821655,Web / Mobile / Application Development
@nsarrazin,huggingface/chat-ui,9763,TypeScript,"['typescript', 'svelte', 'hacktoberfest', 'tailwindcss', 'huggingface', 'svelte-kit', 'sveltekit', 'llm', 'chatgpt']",0.10550458715596331,0.05504587155963303,1.0,0.1743119266055046,0.0963302752293578,0.536697247706422,0.16972477064220184,0.8211009174311926,0.027522935779816515,0.013761467889908258,Web / Mobile / Application Development
@wdhdev,is-a-dev/register,8746,JavaScript,"['dns', 'github-pages', 'website', 'oss', 'foss', 'domain', 'dev', 'cloudflare', 'subdomain', 'developer', 'free', 'free-domain', 'free-for-developers', 'free-for-dev']",0.10144927536231885,0.2318840579710145,0.927536231884058,0.13043478260869565,0.5507246376811594,0.6666666666666666,1.0,0.043478260869565216,0.014492753623188406,0.11594202898550725,CLI / Utilities / Developer Tools
@jaywcjlove,jaywcjlove/awesome-mac,90568,JavaScript,"['desktop-app', 'macos', 'mac', 'application', 'app', 'list', 'apple', 'awesome', 'apps', 'desktop-application', 'software', 'macosx', 'awesome-list', 'mac-osx', 'desktop-apps', 'awesome-lists', 'macos-app', 'macos-apps', 'awesome-mac']",0.05595667870036101,1.0,0.898014440433213,0.043772563176895304,0.8330324909747292,0.608754512635379,0.2026173285198556,0.03023465703971119,0.09160649819494585,0.02211191335740072,Systems / Embedded / Robotics
@Centril,clockworklabs/SpacetimeDB,18073,Rust,"['database', 'smart-contracts', 'game-development', 'relational-database', 'relational', 'dataoriented']",0.011822660098522168,0.6206896551724138,1.0,0.0561576354679803,0.07093596059113301,0.1832512315270936,0.35763546798029555,0.5123152709359606,0.1123152709359606,0.1270935960591133,Web / Mobile / Application Development
@profvjreddi,harvard-edge/cs249r_book,3951,Python,"['machine-learning', 'deep-learning', 'artificial-intelligence', 'textbook', 'courseware', 'computer-systems', 'edge-machine-learning', 'machine-learning-systems', 'tinyml', 'cloud-ml', 'embedded-ml', 'mobile-ml']",0.7678571428571429,0.125,1.0,0.18928571428571428,0.8464285714285714,0.19285714285714287,0.7678571428571429,0.014285714285714285,0.08928571428571429,0.3464285714285714,Web / Mobile / Application Development
@technosophos,helm/helm,28761,Go,"['kubernetes', 'chart', 'charts', 'helm', 'cncf']",0.0003266906239790918,0.1829467494282914,0.022541653054557333,1.0,0.014047696831100947,0.012414243711205489,0.22378307742567788,0.009474028095393662,0.017641293694870958,0.004573668735707285,DevOps / Infrastructure / Cloud
@shilman,storybookjs/storybook,88306,TypeScript,"['react', 'javascript', 'stories', 'testing', 'html', 'components', 'documentation', 'styleguide', 'design-systems', 'angular', 'typescript', 'ui', 'react-native', 'webpack', 'workshop', 'vue', 'web-components', 'svelte', 'storybook', 'vite']",0.005901116427432217,0.012121212121212121,1.0,0.015151515151515152,0.029027113237639554,0.12312599681020733,0.13381180223285485,0.5079744816586922,0.005422647527910686,0.006539074960127592,Web / Mobile / Application Development
@bogdandrutu,open-telemetry/opentelemetry-collector,6042,Go,"['monitoring', 'metrics', 'telemetry', 'observability', 'opentelemetry', 'open-telemetry']",0.03592814371257485,0.9221556886227545,0.2634730538922156,0.7664670658682635,0.23353293413173654,0.1377245508982036,1.0,0.07784431137724551,0.02694610778443114,0.023952095808383235,CLI / Utilities / Developer Tools
@giga-a,qeeqbox/social-analyzer,16162,JavaScript,"['nodejs', 'javascript', 'python', 'cli', 'profile', 'social-media', 'osint', 'analysis', 'analyzer', 'pentesting', 'username', 'pentest', 'nodejs-cli', 'information-gathering', 'security-tools', 'reconnaissance', 'social-analyzer', 'person-profile', 'sosint']",0.0423728813559322,0.23728813559322035,0.5169491525423728,0.07627118644067797,0.8898305084745762,0.11016949152542373,1.0,0.05084745762711865,0.17796610169491525,0.0423728813559322,CLI / Utilities / Developer Tools
@patchy631,patchy631/ai-engineering-hub,19739,Jupyter Notebook,"['machine-learning', 'ai', 'mcp', 'agents', 'rag', 'llms']",1.0,0.11953883495145631,0.32038834951456313,0.1183252427184466,0.007888349514563107,0.12864077669902912,0.11589805825242719,0.254247572815534,0.18507281553398058,0.06978155339805825,AI / Data / ML
@yhirose,yhirose/cpp-httplib,15236,C++,"['http', 'cpp', 'https', 'cpp11', 'header-only']",0.018867924528301886,1.0,0.5754716981132075,0.18867924528301888,0.6981132075471698,0.7358490566037735,0.7830188679245284,0.1792452830188679,0.1320754716981132,0.08490566037735849,Systems / Embedded / Robotics
@wyli,Project-MONAI/MONAI,7063,Python,"['deep-learning', 'python3', 'pytorch', 'medical-image-computing', 'medical-image-processing', 'healthcare-imaging', 'monai']",1.0,0.3408695652173913,0.11304347826086956,0.11304347826086956,0.10434782608695652,0.0782608695652174,0.03826086956521739,0.9582608695652174,0.01391304347826087,0.02434782608695652,AI / Data / ML
@louis-menlo,janhq/jan,38464,TypeScript,"['open-source', 'self-hosted', 'gpt', 'tauri', 'llm', 'chatgpt', 'llamacpp', 'localai']",0.24213075060532688,0.7925746569814366,1.0,0.09765940274414851,0.048426150121065374,0.05488297013720742,0.06537530266343826,0.39386602098466506,0.06376109765940274,0.004842615012106538,Web / Mobile / Application Development
@Dev-Khant,mem0ai/mem0,42187,Python,"['python', 'application', 'state-management', 'ai', 'memory', 'chatbots', 'memory-management', 'agents', 'hacktoberfest', 'ai-agents', 'long-term-memory', 'rag', 'llm', 'chatgpt', 'genai']",0.6555217831813577,0.14387031408308004,1.0,0.09827760891590678,0.03546099290780142,0.3485309017223911,0.0800405268490375,0.7436676798378926,0.11854103343465046,0.06788247213779129,Web / Mobile / Application Development
@iam-veeramalla,iam-veeramalla/aws-devops-zero-to-hero,9320,Python,['No topics'],0.0035211267605633804,0.09154929577464789,0.04929577464788732,1.0,0.08450704225352113,0.1795774647887324,0.03169014084507042,0.03169014084507042,0.035211267605633804,0.778169014084507,DevOps / Infrastructure / Cloud
