Developer,Repository Name,Number of Stars,Forks,Stars Today,Language
@CloudsOfChange,anthropics/prompt-eng-interactive-tutorial,24687,2260,5390,Jupyter Notebook
@jingyaogong,jingyaogong/minimind,30735,3538,2894,Python
@karpathy,karpathy/nanoGPT,47021,7903,1844,Python
@qin-ctx,volcengine/MineContext,2287,124,1182,Python
@davila7,davila7/claude-code-templates,8980,752,1475,JavaScript
@pi0,nitrojs/nitro,9189,726,1300,TypeScript
@crutkas,microsoft/PowerToys,124929,7431,692,C#
@actions-user,anthropics/claude-code,39695,2527,2109,TypeScript
@ljharb,nvm-sh/nvm,88472,9473,1111,Shell
@lfnovo,lfnovo/open-notebook,6148,621,791,TypeScript
@omarsar,dair-ai/Prompt-Engineering-Guide,64733,6733,1712,MDX
@zealoushacker,anthropics/claude-cookbooks,23440,2410,1232,Jupyter Notebook
@DHowett,microsoft/terminal,100653,8866,116,C++
@imoneoi,sapientinc/HRM,11439,1662,438,Python
@treoden,evershopcommerce/evershop,7979,1943,919,TypeScript
@myhloli,opendatalab/MinerU,47016,3878,1082,Python
@ShuaiBai623,QwenLM/Qwen3-VL,15173,1168,964,Jupyter Notebook
